id,slug,title,rec_level,difficulty,time_cost,location_tags,min_prosperity,max_prosperity,min_reputation,max_reputation,rewards_summary,client_name,_comment
7030,qst_yat_yokai,古道にはびこる妖討伐,2,2,1,loc_yatoshin,,,,,Gold:300,自警団,[討伐] 夜の街道筋に現れる怪異（からかさ小僧や赤鬼）を退治する。
7031,qst_yat_ninja,隠密の密書傍受,2,2,1,loc_yatoshin,,,,,Gold:550,忍び衆,[襲撃] 他国の間者を辻斬りのごとく排除し、密書を奪取して届けよ。
7032,qst_yat_shrine,結界石の修復と奉納,2,2,1,loc_yatoshin,,,,,Gold:250,神社,[修復] 神隠しを防ぐため、破られた結界石の破片を集めて祠に納める。
7033,qst_yat_ronin,食い詰めた浪人狩り,2,2,1,loc_yatoshin,,,,,Gold:350|Order:5,代官所,[討伐] 賭場の手入れ。悪事に手を染めた浪人集団を一網打尽にする。
7034,qst_yat_shogun,御前試合の果たし状配達,2,2,1,loc_yatoshin,,,,,Gold:200,剣客道場,[配達] 不吉な血判状を、隣地の剣客道場まで無傷で送り届ける。
7040,qst_har_jiangshi,死者の還る山の浄化,2,2,1,loc_haryu,,,,,Gold:350,道士,[討伐] 霊山をうろつくキョンシー（跳屍）たちを、護符の力で鎮める。
7041,qst_har_herb,仙丹の材料となる霊草採集,2,2,1,loc_haryu,,,,,Gold:300|Vitality:1,宦官,[納品] 寿命を幾ばくか延ばす仙丹の材料。稀少な霊草を宦官へ納品。
7042,qst_har_rebel,辺境農民の反乱鎮圧,2,2,1,loc_haryu,,,,-50,Gold:450|Evil:10,地方太守,[鎮圧] 重税に苦しみ竹槍を持った農民の反乱軍を、容赦なく根絶やしにする。
7043,qst_har_official,巡検使の護衛と汚職隠蔽,2,2,1,loc_haryu,,,,,Gold:500|Chaos:10,悪徳官僚,[護衛] 賄賂で肥え太った悪徳官僚を守り抜き、暗殺者の刃から匿う。
7044,qst_har_pirate,沿岸を荒らす海賊の討伐,2,2,1,loc_haryu,,,,,Gold:400,港町の長,[討伐] 沿岸の交易船を襲う水賊の拠点へ奇襲をかけ、利益を奪い返す。
